,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
1,1991-2023,Aaron Krickstein,101381,28.0,USA,183.0,R,14.0,1389.0,112,0.017857142857142856,779.0178571428571,242,134,0.5537190082644629,4,2,0.5,0,0,0,0,1,0,0,0,3,2,0,0.3414550446122169,0.18085106382978725,0.7481125600549073,0.28446466060181946,0.586031452358927,0.6861352275716917,0.5066418373680943,0.30517057569296374,0.5359444719881011,0.6766969909027292,0.6256005490734385,0.4203722854188211,0.5973669775095996,0.4897959183673469,4,0.0,16,0.25,27,0.2222222222222222,57,0.42105263157894735,111,0.4864864864864865,174,0.4942528735632184,233,213,79.09876543209876,870.4855967078189,616,542,98.2394366197183,38.6070110701107
2,1991-2023,Abedallah Shelbayh,209406,19.4,JOR,,L,240.0,249.0,5,0.0,400.0,6,1,0.16666666666666666,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.35,0.4,0.65,0.22580645161290322,0.5569007263922519,0.6652173913043479,0.4262295081967213,0.3056768558951965,0.475,0.41935483870967744,0.8333333333333334,0.5384615384615384,0.58,0.0,0,,0,,0,,0,,1,0.0,4,0.0,6,6,86.16666666666667,710.3333333333334,13,13,95.0,43.84615384615385
3,1991-2023,Adam Malik,101349,27.7,MAS,193.0,R,438.0,54.0,3,0.0,250.0,16,11,0.6875,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5166666666666667,0.25,0.85,0.04918032786885246,0.5812182741116751,0.7903930131004366,0.49696969696969695,0.20422535211267606,0.4772727272727273,0.21311475409836064,0.26666666666666666,0.23076923076923078,0.4375,0.6428571428571429,0,,0,,0,,1,0.0,3,0.0,3,0.0,5,5,240.75,213.8125,11,11,104.2,47.36363636363637
4,1991-2023,Adam Pavlasek,106361,23.6,CZE,186.0,R,86.0,662.0,9,0.0,1138.888888888889,15,6,0.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5099009900990099,0.24257425742574257,0.7277227722772277,0.208955223880597,0.6147978642257819,0.6923076923076923,0.4594059405940594,0.301460823373174,0.44349680170575695,0.4427860696517413,0.6435643564356436,0.47191011235955055,0.5769230769230769,0.0,0,,1,0.0,1,0.0,3,0.0,5,0.2,8,0.5,15,15,86.8,1195.7333333333333,45,45,102.73333333333333,34.24444444444445
5,1991-2023,Adrian Andreev,202090,19.7,BUL,180.0,R,319.0,158.0,6,0.0,250.0,9,2,0.2222222222222222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.10344827586206896,0.27586206896551724,0.6551724137931034,0.2111111111111111,0.6323024054982818,0.5896739130434783,0.5280373831775701,0.25806451612903225,0.5049019607843137,0.4888888888888889,0.7586206896551724,0.4318181818181818,0.5454545454545454,0.0,0,,0,,0,,0,,3,0.0,6,0.16666666666666666,8,8,174.33333333333334,844.1111111111111,19,19,99.25,41.78947368421053
6,1991-2023,Adrian Garcia,103201,27.3,CHI,175.0,R,103.0,415.0,25,0.0,340.0,41,13,0.3170731707317073,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2514124293785311,0.2853107344632768,0.711864406779661,0.17827298050139276,0.5968226706741091,0.6669064748201439,0.5015974440894568,0.26410998552821996,0.47238542890716806,0.43454038997214484,0.6779661016949152,0.41025641025641024,0.575,0.4117647058823529,0,,1,0.0,1,0.0,2,0.0,7,0.0,19,0.21052631578947367,34,34,157.85365853658536,496.4878048780488,76,76,85.38235294117646,38.19736842105263
7,1991-2023,Adrian Mannarino,105173,35.0,FRA,183.0,L,22.0,1735.0,307,0.009771986970684038,752.442996742671,575,270,0.46956521739130436,13,3,0.23076923076923078,0,0,0,0,0,0,1,0,12,3,0,0.3880704794916233,0.21143847487001732,0.7635759676487579,0.21854399541415878,0.6045141855132413,0.6959464484938639,0.5091518872214643,0.28402981200637767,0.49858438781995723,0.530524505588994,0.5820335066435587,0.4119394921663965,0.5937965260545905,0.45564516129032256,1,0.0,22,0.13636363636363635,61,0.16393442622950818,120,0.19166666666666668,258,0.3488372093023256,432,0.4074074074074074,573,540,80.37152777777777,1385.9722222222222,1463,1376,107.69814814814815,42.26526162790697
8,1991-2023,Adrian Menendez Maceiras,104629,33.4,ESP,185.0,R,114.0,477.0,18,0.0,583.3333333333334,24,6,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3745819397993311,0.19732441471571907,0.705685618729097,0.15359477124183007,0.6062717770034843,0.6674876847290641,0.48166877370417194,0.25084459459459457,0.4686192468619247,0.4117647058823529,0.6555183946488294,0.373015873015873,0.5510204081632653,0.5625,0,,0,,0,,0,,9,0.2222222222222222,17,0.17647058823529413,24,21,111.875,776.0833333333334,64,56,113.66666666666667,42.625
9,1991-2023,Adrian Ungur,104494,33.1,ROU,178.0,R,79.0,625.0,28,0.0,776.7857142857143,60,18,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2169811320754717,0.3018867924528302,0.6886792452830188,0.15613382899628253,0.6142247510668564,0.650301065308013,0.474188790560472,0.2595602294455067,0.4555102040816327,0.42193308550185876,0.7094339622641509,0.3700440528634361,0.5611702127659575,0.4090909090909091,0,,2,0.0,3,0.0,6,0.0,19,0.15789473684210525,38,0.13157894736842105,43,43,134.08333333333334,1062.55,113,113,103.20930232558139,39.27433628318584
10,1991-2023,Adrian Voinea,102437,28.9,ROU,185.0,R,36.0,957.0,169,0.005917159763313609,644.9704142011834,312,136,0.4358974358974359,2,1,0.5,0,0,0,0,0,0,0,0,2,1,0,0.44786662899124047,0.2639163605538288,0.7259112743712913,0.22535612535612537,0.568460446509227,0.6899735149451381,0.4934210526315789,0.2887889013873266,0.4964983798473921,0.5561253561253561,0.6267307148912122,0.4052254098360656,0.5626690712353472,0.5196850393700787,3,0.3333333333333333,11,0.2727272727272727,29,0.13793103448275862,61,0.18032786885245902,138,0.3115942028985507,226,0.3672566371681416,291,280,88.32692307692308,906.4198717948718,749,709,92.9,36.68829337094499
